flat_type,year,transaction_count,median_price,mean_price,median_psm
1 ROOM,2020,10,174000,180000,5612.9
1 ROOM,2021,9,198000,197222.22222222222,6387.1
1 ROOM,2022,10,231944,230888.8,7482.06
1 ROOM,2023,6,241500,243000,7790.325
1 ROOM,2024,11,247000,253363.63636363635,7967.74
2 ROOM,2020,416,230000,233388.07451923078,5000
2 ROOM,2021,382,265000,265937.8560209424,5744.68
2 ROOM,2022,453,300000,295959.03973509936,6508.26
2 ROOM,2023,681,320000,319504.0690161527,7021.28
2 ROOM,2024,789,340000,339215.6679340938,7461.54
3 ROOM,2020,5290,293000,306721.0858223062,4283.455
3 ROOM,2021,6089,332000,344126.45952865825,4852.94
3 ROOM,2022,6066,366000,376549.7390356083,5342.47
3 ROOM,2023,6008,388000,396463.4247270306,5648.65
3 ROOM,2024,6302,410000,418790.86732465884,5975.61
4 ROOM,2020,9540,420000,443708.56695597485,4417.53
4 ROOM,2021,12080,468000,496212.3552880795,4968.585
4 ROOM,2022,10806,510000,531471.5887173793,5380.43
4 ROOM,2023,10692,541000,561019.3407706696,5714.29
4 ROOM,2024,10894,580000,591567.237080962,6086.96
5 ROOM,2020,5927,506000,536509.1393419943,4274.19
5 ROOM,2021,7652,565944,594046.953084161,4791.85
5 ROOM,2022,6504,615000,639270.6160086101,5180.18
5 ROOM,2023,5657,645000,669594.6151034117,5445.36
5 ROOM,2024,6100,680000,702130.645390164,5770.75
EXECUTIVE,2020,1882,618000,635394.958554729,4256.04
EXECUTIVE,2021,2256,690000,704864.7867375887,4761.9
EXECUTIVE,2022,1865,760000,777138.0465844504,5241.38
EXECUTIVE,2023,1482,810000,823432.806099865,5594.41
EXECUTIVE,2024,1700,850000,859209.5011764705,5877.005
MULTI-GENERATION,2020,8,762500,773125,4582.18
MULTI-GENERATION,2021,18,855000,820777.7777777778,5195.780000000001
MULTI-GENERATION,2022,12,855000,874949,5327.095
MULTI-GENERATION,2023,3,975000,996666.6666666666,5880.5
MULTI-GENERATION,2024,6,1028000,1049000,6619.4349999999995
